2022-05-20,UST-USD
Time,Price,UnixTime
00:21:50.321106Z,0.07511,1653006110.321106
00:22:00.463205Z,0.07511,1653006120.463205
00:22:08.487916Z,0.07516,1653006128.487916
00:22:22.466310Z,0.075,1653006142.46631
00:22:26.085984Z,0.075,1653006146.085984
00:22:28.988442Z,0.07511,1653006148.988442
00:22:39.966630Z,0.075,1653006159.96663
00:22:55.536823Z,0.07493,1653006175.536823
00:22:59.826667Z,0.07488,1653006179.826667
00:23:06.355582Z,0.07478,1653006186.355582
00:23:13.456943Z,0.07475,1653006193.456943
00:23:17.240134Z,0.07463,1653006197.240134
00:23:23.958064Z,0.07474,1653006203.958064
00:23:27.609920Z,0.07461,1653006207.60992
00:23:32.084022Z,0.0746,1653006212.084022
00:23:37.685976Z,0.07461,1653006217.685976
00:23:49.898304Z,0.0746,1653006229.898304
00:24:04.507072Z,0.07469,1653006244.507072
00:24:19.740306Z,0.07466,1653006259.740306
00:24:24.575964Z,0.07466,1653006264.575964
00:24:46.886454Z,0.07479,1653006286.886454
00:24:52.708118Z,0.0749,1653006292.708118
00:25:00.679731Z,0.07484,1653006300.679731
00:25:10.452735Z,0.07521,1653006310.452735
00:25:14.069234Z,0.07521,1653006314.069234
00:25:32.963031Z,0.07475,1653006332.963031
00:25:36.229045Z,0.07471,1653006336.229045
00:26:02.916135Z,0.07515,1653006362.916135
00:26:07.353076Z,0.07473,1653006367.353076
00:26:30.333116Z,0.07471,1653006390.333116
00:26:43.630273Z,0.07473,1653006403.630273
00:27:01.935281Z,0.0747,1653006421.935281
00:27:11.421820Z,0.07466,1653006431.42182
00:27:29.803947Z,0.07484,1653006449.803947
00:27:32.756774Z,0.07462,1653006452.756774
00:27:40.026050Z,0.07461,1653006460.02605
00:27:45.785904Z,0.07462,1653006465.785904
00:27:53.786735Z,0.07478,1653006473.786735
00:28:01.465584Z,0.07464,1653006481.465584
00:28:03.975429Z,0.07479,1653006483.975429
00:28:15.833126Z,0.07479,1653006495.833126
