2022-05-18,UST-USD
Time,Price,UnixTime
04:47:13.659454Z,0.08878,1652849233.659454
04:47:37.665304Z,0.08878,1652849257.665304
04:47:55.943981Z,0.08877,1652849275.943981
04:48:00.672967Z,0.08877,1652849280.672967
04:48:05.618804Z,0.08878,1652849285.618804
04:48:23.833818Z,0.08878,1652849303.833818
04:48:29.257769Z,0.08878,1652849309.257769
04:48:36.508342Z,0.08878,1652849316.508342
04:48:46.602527Z,0.08863,1652849326.602527
04:49:14.724511Z,0.08879,1652849354.724511
04:49:18.008262Z,0.08879,1652849358.008262
04:49:21.810499Z,0.08879,1652849361.810499
04:49:50.284945Z,0.08883,1652849390.284945
04:50:01.891127Z,0.0893,1652849401.891127
04:50:29.254967Z,0.08879,1652849429.254967
04:51:04.325670Z,0.08932,1652849464.32567
04:51:10.602349Z,0.08886,1652849470.602349
04:51:20.710161Z,0.08883,1652849480.710161
04:51:49.803796Z,0.08883,1652849509.803796
04:52:17.036355Z,0.08948,1652849537.036355
04:52:25.881894Z,0.08949,1652849545.881894
04:52:29.271166Z,0.08949,1652849549.271166
04:52:39.353055Z,0.0895,1652849559.353055
04:52:51.482626Z,0.08864,1652849571.482626
04:53:26.054723Z,0.08877,1652849606.054723
04:53:47.561325Z,0.08886,1652849627.561325
04:53:53.374946Z,0.08899,1652849633.374946
04:54:20.171794Z,0.08887,1652849660.171794
04:54:31.105419Z,0.08901,1652849671.105419
04:54:39.615862Z,0.08911,1652849679.615862
04:54:50.853948Z,0.08911,1652849690.853948
04:55:29.069621Z,0.08938,1652849729.069621
04:55:40.121081Z,0.08936,1652849740.121081
04:55:43.042971Z,0.08912,1652849743.042971
04:56:06.560293Z,0.08932,1652849766.560293
04:56:25.916244Z,0.08949,1652849785.916244
04:56:30.933336Z,0.08947,1652849790.933336
04:56:34.361877Z,0.08981,1652849794.361877
04:56:45.716960Z,0.08981,1652849805.71696
04:56:50.289905Z,0.08956,1652849810.289905
04:56:57.091945Z,0.08953,1652849817.091945
04:56:59.757014Z,0.08953,1652849819.757014
04:57:10.291973Z,0.08957,1652849830.291973
04:57:14.934479Z,0.08957,1652849834.934479
04:57:36.061033Z,0.08955,1652849856.061033
04:57:45.260756Z,0.08955,1652849865.260756
04:57:59.250320Z,0.08955,1652849879.25032
04:58:15.270472Z,0.08898,1652849895.270472
04:58:43.525697Z,0.08969,1652849923.525697
04:58:46.460163Z,0.0891,1652849926.460163
04:58:50.361333Z,0.08909,1652849930.361333
04:59:05.404211Z,0.08932,1652849945.404211
04:59:11.037493Z,0.08956,1652849951.037493
04:59:20.865034Z,0.08907,1652849960.865034
04:59:32.126405Z,0.08908,1652849972.126405
05:00:03.981327Z,0.08908,1652850003.981327
05:00:26.830729Z,0.0895,1652850026.830729
05:00:57.989265Z,0.08904,1652850057.989265
05:01:17.309707Z,0.08904,1652850077.309707
05:01:29.797714Z,0.08923,1652850089.797714
05:01:35.528918Z,0.08921,1652850095.528918
05:01:41.621339Z,0.08904,1652850101.621339
05:01:47.043275Z,0.08904,1652850107.043275
05:02:02.191090Z,0.0891,1652850122.19109
05:02:22.518269Z,0.089,1652850142.518269
05:02:28.847200Z,0.08867,1652850148.8472
05:02:35.747682Z,0.08899,1652850155.747682
05:02:50.701549Z,0.08899,1652850170.701549
05:03:03.562438Z,0.08861,1652850183.562438
05:03:06.732375Z,0.08861,1652850186.732375
05:03:26.288449Z,0.0886,1652850206.288449
05:03:34.491067Z,0.0886,1652850214.491067
05:03:43.106653Z,0.08879,1652850223.106653
05:04:04.566775Z,0.0886,1652850244.566775
05:04:22.317389Z,0.08882,1652850262.317389
05:04:39.934551Z,0.0888,1652850279.934551
05:04:48.910271Z,0.0886,1652850288.910271
05:04:57.233855Z,0.0886,1652850297.233855
05:05:06.199526Z,0.08869,1652850306.199526
05:05:27.922701Z,0.08861,1652850327.922701
05:05:41.205115Z,0.0886,1652850341.205115
05:05:54.517202Z,0.0886,1652850354.517202
05:05:58.681289Z,0.08865,1652850358.681289
05:06:08.293884Z,0.0886,1652850368.293884
05:06:19.212384Z,0.08861,1652850379.212384
05:06:26.727984Z,0.08865,1652850386.727984
05:06:36.249773Z,0.0886,1652850396.249773
05:06:47.986032Z,0.08861,1652850407.986032
05:06:55.192208Z,0.08861,1652850415.192208
05:07:27.528919Z,0.08866,1652850447.528919
05:07:35.809453Z,0.08861,1652850455.809453
05:07:46.486934Z,0.08863,1652850466.486934
05:07:51.832728Z,0.0886,1652850471.832728
05:07:56.192270Z,0.08865,1652850476.19227
05:08:10.148554Z,0.08865,1652850490.148554
05:08:14.934576Z,0.08866,1652850494.934576
05:08:29.203412Z,0.08869,1652850509.203412
05:08:51.512649Z,0.08875,1652850531.512649
05:09:11.095109Z,0.08873,1652850551.095109
05:09:21.064979Z,0.0886,1652850561.064979
05:09:31.598115Z,0.0886,1652850571.598115
05:09:40.127219Z,0.0886,1652850580.127219
05:09:43.867070Z,0.08871,1652850583.86707
05:09:56.643897Z,0.08871,1652850596.643897
05:10:06.366117Z,0.08866,1652850606.366117
05:10:09.600192Z,0.08873,1652850609.600192
05:10:51.993282Z,0.08861,1652850651.993282
05:10:59.111607Z,0.0886,1652850659.111607
