2022-05-21,ETH-USD
Time,Price,UnixTime
00:00:02.876229Z,1956.32,1653091202.876229
00:00:08.538823Z,1956.58,1653091208.538823
00:00:13.829532Z,1956.77,1653091213.829532
00:00:19.317093Z,1957.93,1653091219.317093
00:00:24.185270Z,1958.52,1653091224.18527
00:00:28.828119Z,1958.78,1653091228.828119
00:00:34.825006Z,1958.71,1653091234.825006
00:00:39.845386Z,1958.93,1653091239.845386
00:00:44.822047Z,1957.64,1653091244.822047
00:00:47.552873Z,1956.45,1653091247.552873
00:00:55.121624Z,1955.9,1653091255.121624
00:01:00.136854Z,1955.09,1653091260.136854
00:01:03.925799Z,1955.94,1653091263.925799
00:01:09.567116Z,1955.65,1653091269.567116
00:01:15.517364Z,1956.32,1653091275.517364
00:01:20.040767Z,1956.33,1653091280.040767
00:01:23.772863Z,1955.96,1653091283.772863
00:01:27.904557Z,1955.84,1653091287.904557
00:01:35.191575Z,1955.87,1653091295.191575
00:01:39.707739Z,1955.97,1653091299.707739
00:01:44.446665Z,1956.44,1653091304.446665
00:01:49.885950Z,1956.12,1653091309.88595
00:01:54.927343Z,1955.9,1653091314.927343
00:01:58.222092Z,1956.15,1653091318.222092
00:02:04.958072Z,1956.45,1653091324.958072
00:02:09.425733Z,1956.43,1653091329.425733
00:02:15.745016Z,1955.57,1653091335.745016
00:02:19.804626Z,1956.19,1653091339.804626
00:02:25.801994Z,1956.95,1653091345.801994
00:02:29.605792Z,1956.98,1653091349.605792
00:02:35.817364Z,1956.85,1653091355.817364
00:02:39.871715Z,1957.04,1653091359.871715
00:02:45.530192Z,1956.47,1653091365.530192
00:02:49.827703Z,1956.3,1653091369.827703
00:02:54.831067Z,1954.78,1653091374.831067
00:02:59.688230Z,1954.75,1653091379.68823
00:03:05.743092Z,1954.65,1653091385.743092
00:03:09.572364Z,1953.38,1653091389.572364
00:03:15.566587Z,1954.19,1653091395.566587
00:03:19.499555Z,1954.47,1653091399.499555
00:03:25.084837Z,1954.35,1653091405.084837
00:03:29.893518Z,1954.28,1653091409.893518
00:03:33.601049Z,1954.28,1653091413.601049
00:03:39.441725Z,1954.06,1653091419.441725
00:03:45.983439Z,1953.75,1653091425.983439
00:03:51.250473Z,1954.4,1653091431.250473
00:03:54.682591Z,1954.59,1653091434.682591
00:04:00.730588Z,1956.43,1653091440.730588
00:04:06.317464Z,1956.42,1653091446.317464
00:04:10.665341Z,1956.5,1653091450.665341
00:04:16.549593Z,1955.4,1653091456.549593
00:04:21.891552Z,1954.41,1653091461.891552
00:04:25.881520Z,1954.7,1653091465.88152
00:04:29.341556Z,1954.65,1653091469.341556
00:04:36.141726Z,1954.84,1653091476.141726
00:04:41.000268Z,1954.66,1653091481.000268
00:04:45.669998Z,1954.7,1653091485.669998
00:04:50.930777Z,1955.54,1653091490.930777
00:04:56.302118Z,1955.1,1653091496.302118
00:05:01.644278Z,1955.28,1653091501.644278
00:05:06.304435Z,1955.33,1653091506.304435
00:05:11.312911Z,1955.17,1653091511.312911
00:05:16.314024Z,1955.39,1653091516.314024
00:05:18.988970Z,1955.53,1653091518.98897
00:05:25.805867Z,1955.41,1653091525.805867
00:05:31.114422Z,1955.55,1653091531.114422
00:05:36.090342Z,1955.93,1653091536.090342
00:05:41.369039Z,1955.93,1653091541.369039
00:05:47.113678Z,1957.79,1653091547.113678
00:05:51.221388Z,1957.73,1653091551.221388
00:05:55.662617Z,1958.13,1653091555.662617
00:06:00.460797Z,1957.82,1653091560.460797
00:06:06.259452Z,1957.8,1653091566.259452
00:06:12.149974Z,1957.88,1653091572.149974
00:06:17.448720Z,1957.72,1653091577.44872
00:06:22.601454Z,1956.62,1653091582.601454
00:06:27.325641Z,1956.71,1653091587.325641
00:06:31.309653Z,1956.45,1653091591.309653
00:06:35.610520Z,1957.01,1653091595.61052
00:06:42.498365Z,1956.86,1653091602.498365
00:06:46.353706Z,1957.07,1653091606.353706
00:06:52.149684Z,1956.6,1653091612.149684
00:06:57.083145Z,1956.58,1653091617.083145
00:07:00.789051Z,1956.66,1653091620.789051
00:07:07.007294Z,1956.6,1653091627.007294
00:07:11.726679Z,1956.64,1653091631.726679
00:07:17.001594Z,1956.98,1653091637.001594
00:07:22.786069Z,1957.44,1653091642.786069
00:07:28.278880Z,1957.46,1653091648.27888
00:07:31.827238Z,1957.23,1653091651.827238
00:07:37.729630Z,1957.17,1653091657.72963
00:07:41.904445Z,1956.94,1653091661.904445
00:07:47.104030Z,1958.29,1653091667.10403
00:07:51.406525Z,1959.29,1653091671.406525
00:07:57.164180Z,1958.7,1653091677.16418
00:08:02.947586Z,1959.12,1653091682.947586
00:08:07.109940Z,1959.03,1653091687.10994
00:08:11.852057Z,1958.79,1653091691.852057
00:08:17.372938Z,1958.99,1653091697.372938
00:08:23.958681Z,1959.23,1653091703.958681
00:08:27.054942Z,1959.25,1653091707.054942
00:08:33.659892Z,1959.16,1653091713.659892
00:08:38.081102Z,1959.68,1653091718.081102
00:08:43.797798Z,1960.19,1653091723.797798
00:08:47.471029Z,1960.19,1653091727.471029
00:08:53.224585Z,1960.25,1653091733.224585
00:08:57.126992Z,1960.38,1653091737.126992
00:09:02.848800Z,1959.73,1653091742.8488
00:09:08.690498Z,1959.87,1653091748.690498
00:09:12.760885Z,1959.56,1653091752.760885
00:09:17.686203Z,1959.74,1653091757.686203
00:09:22.735461Z,1960.57,1653091762.735461
00:09:29.359528Z,1960.78,1653091769.359528
00:09:32.301049Z,1960.58,1653091772.301049
00:09:37.563689Z,1960.68,1653091777.563689
00:09:41.945088Z,1959.52,1653091781.945088
00:09:48.607100Z,1959.02,1653091788.6071
00:09:52.745231Z,1959.82,1653091792.745231
00:09:57.117270Z,1960.49,1653091797.11727
00:10:01.131170Z,1960.9,1653091801.13117
00:10:08.394270Z,1960.91,1653091808.39427
00:10:12.729547Z,1960.42,1653091812.729547
00:10:18.590181Z,1960.13,1653091818.590181
00:10:22.815139Z,1960.12,1653091822.815139
00:10:28.772531Z,1960.04,1653091828.772531
00:10:34.150479Z,1959.88,1653091834.150479
00:10:38.517951Z,1959.88,1653091838.517951
00:10:44.710140Z,1959.81,1653091844.71014
00:10:48.936096Z,1959.94,1653091848.936096
00:10:54.014999Z,1960.14,1653091854.014999
00:10:58.764986Z,1959.78,1653091858.764986
00:11:04.186370Z,1959.7,1653091864.18637
00:11:08.776473Z,1960.8,1653091868.776473
00:11:14.441832Z,1960.32,1653091874.441832
00:11:18.693450Z,1960.31,1653091878.69345
00:11:23.120352Z,1959.88,1653091883.120352
00:11:28.552328Z,1959.6,1653091888.552328
00:11:34.764042Z,1959.76,1653091894.764042
00:11:38.881630Z,1960.39,1653091898.88163
00:11:44.013084Z,1960.75,1653091904.013084
00:11:48.912826Z,1960.46,1653091908.912826
00:11:54.974836Z,1960.27,1653091914.974836
00:11:58.346997Z,1960.22,1653091918.346997
00:12:04.865775Z,1960.77,1653091924.865775
00:12:08.947298Z,1960.93,1653091928.947298
00:12:13.488577Z,1961.55,1653091933.488577
00:12:18.489767Z,1960.53,1653091938.489767
00:12:24.266431Z,1961.07,1653091944.266431
