2022-05-21,BTC-USD
Time,Price,UnixTime
00:09:42.432836Z,29185.19,1653091782.432836
00:09:47.957187Z,29184.84,1653091787.957187
00:09:52.460219Z,29189.45,1653091792.460219
00:09:58.083902Z,29198.79,1653091798.083902
00:10:01.617497Z,29198.13,1653091801.617497
00:10:07.935087Z,29201.33,1653091807.935087
00:10:11.806958Z,29190.67,1653091811.806958
00:10:18.149165Z,29195.24,1653091818.149165
00:10:21.499116Z,29194.13,1653091821.499116
00:10:28.529358Z,29195.65,1653091828.529358
00:10:31.348910Z,29193.71,1653091831.34891
00:10:37.009881Z,29193.96,1653091837.009881
00:10:41.417654Z,29193.95,1653091841.417654
00:10:45.695125Z,29193.64,1653091845.695125
00:10:52.279400Z,29193.96,1653091852.2794
00:10:57.336956Z,29194.21,1653091857.336956
00:11:02.637842Z,29194.61,1653091862.637842
00:11:07.750784Z,29200.01,1653091867.750784
00:11:11.107588Z,29199.57,1653091871.107588
00:11:17.235066Z,29199.57,1653091877.235066
00:11:23.105060Z,29196.46,1653091883.10506
00:11:28.879074Z,29196.34,1653091888.879074
00:11:32.877515Z,29196.34,1653091892.877515
00:11:38.805945Z,29196.34,1653091898.805945
00:11:42.720658Z,29204.29,1653091902.720658
00:11:47.584240Z,29204.23,1653091907.58424
00:11:52.785006Z,29204.77,1653091912.785006
00:11:58.496626Z,29200.18,1653091918.496626
00:12:03.333442Z,29209.98,1653091923.333442
00:12:07.457304Z,29211.2,1653091927.457304
00:12:13.857921Z,29211.6,1653091933.857921
00:12:18.370695Z,29201.57,1653091938.370695
00:12:23.491465Z,29204.55,1653091943.491465
00:12:28.867376Z,29203.1,1653091948.867376
00:12:33.669886Z,29192.26,1653091953.669886
00:12:38.675654Z,29192.26,1653091958.675654
00:12:42.385364Z,29190.26,1653091962.385364
00:12:47.856736Z,29190.02,1653091967.856736
00:12:52.832696Z,29190.15,1653091972.832696
00:12:58.317669Z,29189.86,1653091978.317669
00:13:03.825697Z,29189.33,1653091983.825697
00:13:07.652908Z,29190.33,1653091987.652908
00:13:13.391805Z,29206.25,1653091993.391805
00:13:17.571800Z,29206.08,1653091997.5718
00:13:24.194674Z,29206.1,1653092004.194674
00:13:29.231126Z,29223.37,1653092009.231126
00:13:32.301292Z,29222.28,1653092012.301292
00:13:39.599388Z,29230.26,1653092019.599388
00:13:42.533956Z,29226.73,1653092022.533956
00:13:49.853826Z,29227.72,1653092029.853826
00:13:53.058836Z,29231.2,1653092033.058836
00:13:59.674905Z,29228.96,1653092039.674905
00:14:04.372182Z,29228.03,1653092044.372182
00:14:09.751058Z,29228.02,1653092049.751058
00:14:14.381194Z,29220.83,1653092054.381194
00:14:19.724762Z,29218.81,1653092059.724762
00:14:24.720195Z,29218.26,1653092064.720195
00:14:30.255226Z,29215.56,1653092070.255226
00:14:33.659371Z,29208.15,1653092073.659371
00:14:39.500193Z,29207.77,1653092079.500193
00:14:44.571458Z,29207.76,1653092084.571458
00:14:49.682084Z,29207.76,1653092089.682084
00:14:55.099531Z,29207.76,1653092095.099531
00:14:59.710917Z,29207.77,1653092099.710917
00:15:03.900955Z,29208.03,1653092103.900955
00:15:08.953937Z,29241.6,1653092108.953937
00:15:15.531856Z,29223.56,1653092115.531856
00:15:19.098136Z,29226.67,1653092119.098136
00:15:24.718828Z,29232.93,1653092124.718828
00:15:28.293813Z,29233.09,1653092128.293813
00:15:35.663517Z,29232.93,1653092135.663517
00:15:39.811846Z,29232.93,1653092139.811846
00:15:45.901365Z,29225.65,1653092145.901365
00:15:49.557561Z,29225.64,1653092149.557561
00:15:56.023987Z,29226.02,1653092156.023987
00:15:59.708044Z,29233.12,1653092159.708044
00:16:05.681983Z,29229.7,1653092165.681983
00:16:10.787649Z,29228.87,1653092170.787649
00:16:15.592549Z,29232.91,1653092175.592549
00:16:20.418105Z,29230.06,1653092180.418105
00:16:25.982213Z,29233.38,1653092185.982213
00:16:30.114970Z,29232.48,1653092190.11497
00:16:35.916760Z,29227.78,1653092195.91676
00:16:41.363365Z,29227.78,1653092201.363365
00:16:46.157060Z,29227.78,1653092206.15706
00:16:51.388785Z,29227.78,1653092211.388785
00:16:55.635674Z,29232.08,1653092215.635674
00:17:00.089323Z,29223.43,1653092220.089323
00:17:06.530712Z,29224.66,1653092226.530712
00:17:10.065096Z,29231.35,1653092230.065096
00:17:16.598741Z,29231.81,1653092236.598741
00:17:21.176891Z,29232.39,1653092241.176891
00:17:25.937810Z,29232.69,1653092245.93781
00:17:31.186289Z,29246.94,1653092251.186289
00:17:36.004865Z,29247.13,1653092256.004865
00:17:41.469490Z,29240.22,1653092261.46949
00:17:46.082232Z,29243.02,1653092266.082232
00:17:49.266981Z,29244.95,1653092269.266981
