2022-05-19,UST-USD
Time,Price,UnixTime
00:00:06.775986Z,0.09259,1652918406.775986
00:00:16.716685Z,0.09261,1652918416.716685
00:00:29.989310Z,0.09308,1652918429.98931
00:00:34.341268Z,0.09288,1652918434.341268
00:00:41.056113Z,0.09288,1652918441.056113
00:00:48.291430Z,0.09333,1652918448.29143
00:00:55.366681Z,0.09354,1652918455.366681
00:00:59.523626Z,0.09365,1652918459.523626
00:01:11.938359Z,0.09353,1652918471.938359
00:01:40.630136Z,0.09334,1652918500.630136
00:01:47.788355Z,0.09353,1652918507.788355
00:02:24.271927Z,0.09314,1652918544.271927
00:02:29.005232Z,0.09366,1652918549.005232
00:02:36.663543Z,0.09353,1652918556.663543
00:02:44.593768Z,0.0932,1652918564.593768
00:02:52.386007Z,0.09314,1652918572.386007
00:02:55.240588Z,0.09385,1652918575.240588
00:03:15.961554Z,0.09385,1652918595.961554
00:03:19.976563Z,0.09385,1652918599.976563
00:03:26.079900Z,0.09319,1652918606.0799
00:03:31.463318Z,0.09318,1652918611.463318
00:03:35.760793Z,0.0934,1652918615.760793
00:03:41.851541Z,0.09313,1652918621.851541
00:03:56.736561Z,0.093,1652918636.736561
00:04:02.617031Z,0.093,1652918642.617031
00:04:07.929202Z,0.09288,1652918647.929202
00:04:11.381545Z,0.093,1652918651.381545
00:04:21.781331Z,0.09288,1652918661.781331
00:04:24.381950Z,0.09302,1652918664.38195
00:04:29.523397Z,0.09289,1652918669.523397
00:04:38.805079Z,0.09288,1652918678.805079
00:04:44.508774Z,0.09288,1652918684.508774
00:04:53.078581Z,0.09261,1652918693.078581
00:05:03.816969Z,0.09279,1652918703.816969
00:05:07.994820Z,0.09282,1652918707.99482
00:05:14.083353Z,0.09261,1652918714.083353
00:05:17.270044Z,0.09277,1652918717.270044
00:05:24.333782Z,0.09259,1652918724.333782
00:05:34.570710Z,0.09259,1652918734.57071
00:05:36.775247Z,0.09268,1652918736.775247
00:05:42.758351Z,0.09259,1652918742.758351
00:05:52.172068Z,0.0927,1652918752.172068
00:05:54.870600Z,0.09268,1652918754.8706
00:06:00.402344Z,0.09268,1652918760.402344
00:06:09.743711Z,0.09249,1652918769.743711
00:06:13.685704Z,0.09267,1652918773.685704
00:06:38.775050Z,0.09254,1652918798.77505
00:06:42.610603Z,0.09222,1652918802.610603
00:06:47.533670Z,0.09257,1652918807.53367
00:06:50.814825Z,0.09219,1652918810.814825
00:07:03.333669Z,0.09214,1652918823.333669
00:07:20.995462Z,0.09213,1652918840.995462
00:07:35.095970Z,0.09205,1652918855.09597
00:07:46.290341Z,0.092,1652918866.290341
00:07:49.337472Z,0.09169,1652918869.337472
00:07:56.222355Z,0.09148,1652918876.222355
00:07:59.839693Z,0.09144,1652918879.839693
00:08:03.694904Z,0.09074,1652918883.694904
00:08:11.573925Z,0.0905,1652918891.573925
00:08:13.516414Z,0.0904,1652918893.516414
00:08:20.186172Z,0.09024,1652918900.186172
00:08:26.595110Z,0.09024,1652918906.59511
00:08:31.245225Z,0.09,1652918911.245225
00:08:35.674718Z,0.09038,1652918915.674718
00:08:38.096065Z,0.09005,1652918918.096065
00:08:42.545099Z,0.09003,1652918922.545099
00:08:50.371965Z,0.09,1652918930.371965
00:08:53.822918Z,0.09023,1652918933.822918
00:09:06.071064Z,0.09009,1652918946.071064
00:09:15.208335Z,0.09045,1652918955.208335
00:09:25.634040Z,0.09013,1652918965.63404
00:09:30.845581Z,0.09037,1652918970.845581
00:09:35.771521Z,0.09039,1652918975.771521
00:09:42.559332Z,0.0903,1652918982.559332
00:09:46.240645Z,0.09044,1652918986.240645
00:10:00.069364Z,0.0903,1652919000.069364
00:10:06.941468Z,0.09044,1652919006.941468
00:10:12.090034Z,0.09073,1652919012.090034
00:10:15.528874Z,0.09038,1652919015.528874
00:10:22.704903Z,0.09099,1652919022.704903
00:10:31.040880Z,0.09099,1652919031.04088
00:10:43.370389Z,0.09069,1652919043.370389
00:10:52.389136Z,0.09093,1652919052.389136
00:10:56.535754Z,0.09192,1652919056.535754
00:11:22.838878Z,0.09166,1652919082.838878
00:11:29.119625Z,0.09201,1652919089.119625
00:11:33.606378Z,0.09155,1652919093.606378
00:11:36.734901Z,0.092,1652919096.734901
00:11:41.781423Z,0.09126,1652919101.781423
00:11:51.561249Z,0.09174,1652919111.561249
00:11:58.768353Z,0.09109,1652919118.768353
00:12:10.291606Z,0.09106,1652919130.291606
00:12:17.266553Z,0.09104,1652919137.266553
00:12:24.425031Z,0.09125,1652919144.425031
00:12:27.565732Z,0.091,1652919147.565732
00:12:38.824285Z,0.09125,1652919158.824285
00:12:40.804357Z,0.09135,1652919160.804357
00:12:48.976102Z,0.09116,1652919168.976102
00:12:52.107071Z,0.09173,1652919172.107071
00:13:00.501746Z,0.09169,1652919180.501746
00:13:08.224019Z,0.09192,1652919188.224019
00:13:19.899738Z,0.0911,1652919199.899738
00:13:23.272736Z,0.09171,1652919203.272736
00:13:29.533823Z,0.09086,1652919209.533823
00:13:39.195824Z,0.09176,1652919219.195824
00:13:49.031388Z,0.09144,1652919229.031388
00:13:59.855712Z,0.09102,1652919239.855712
00:14:06.351068Z,0.09118,1652919246.351068
00:14:10.486089Z,0.09102,1652919250.486089
00:14:14.643263Z,0.09107,1652919254.643263
00:14:21.220348Z,0.09083,1652919261.220348
00:14:24.932517Z,0.09051,1652919264.932517
00:14:31.000890Z,0.09162,1652919271.00089
00:14:34.315232Z,0.09089,1652919274.315232
00:14:46.623573Z,0.09162,1652919286.623573
00:14:49.185395Z,0.09108,1652919289.185395
00:14:59.169248Z,0.09125,1652919299.169248
00:15:03.078108Z,0.09164,1652919303.078108
00:15:15.971042Z,0.09168,1652919315.971042
00:15:20.673406Z,0.09176,1652919320.673406
00:15:23.658347Z,0.09182,1652919323.658347
00:15:31.511069Z,0.0918,1652919331.511069
00:15:34.947111Z,0.09179,1652919334.947111
00:15:37.982237Z,0.09182,1652919337.982237
00:15:46.499739Z,0.09179,1652919346.499739
00:15:52.671790Z,0.09177,1652919352.67179
00:15:56.527678Z,0.09173,1652919356.527678
00:16:01.738188Z,0.09242,1652919361.738188
00:16:22.973416Z,0.09225,1652919382.973416
00:16:24.531545Z,0.09249,1652919384.531545
