2022-05-19,ETH-USD
Time,Price,UnixTime
00:00:02.813491Z,1911.22,1652918402.813491
00:00:06.736399Z,1911.61,1652918406.736399
00:00:12.768160Z,1913,1652918412.76816
00:00:17.045833Z,1912.4,1652918417.045833
00:00:22.264620Z,1912.32,1652918422.26462
00:00:26.806091Z,1915,1652918426.806091
00:00:32.399709Z,1914.52,1652918432.399709
00:00:36.734940Z,1914.67,1652918436.73494
00:00:42.897499Z,1914.93,1652918442.897499
00:00:48.815066Z,1916.25,1652918448.815066
00:00:53.435964Z,1918.98,1652918453.435964
00:00:58.641992Z,1918.63,1652918458.641992
00:01:03.051122Z,1917.85,1652918463.051122
00:01:08.744307Z,1917.27,1652918468.744307
00:01:12.612471Z,1918.41,1652918472.612471
00:01:18.953586Z,1919.12,1652918478.953586
00:01:22.746281Z,1919.52,1652918482.746281
00:01:28.514658Z,1918.79,1652918488.514658
00:01:32.750999Z,1919.85,1652918492.750999
00:01:38.810016Z,1919.28,1652918498.810016
00:01:42.000497Z,1919.51,1652918502.000497
00:01:49.001485Z,1920.06,1652918509.001485
00:01:52.410039Z,1920.29,1652918512.410039
00:01:58.351311Z,1921.18,1652918518.351311
00:02:03.039099Z,1921.65,1652918523.039099
00:02:08.909635Z,1921.3,1652918528.909635
00:02:12.726407Z,1919.47,1652918532.726407
00:02:19.006378Z,1919.06,1652918539.006378
00:02:22.800453Z,1918.3,1652918542.800453
00:02:28.782238Z,1918.55,1652918548.782238
00:02:33.027596Z,1917.73,1652918553.027596
00:02:39.073660Z,1917.61,1652918559.07366
00:02:43.777195Z,1916.79,1652918563.777195
00:02:47.796289Z,1917.27,1652918567.796289
00:02:53.374796Z,1918.51,1652918573.374796
00:02:59.943041Z,1917.79,1652918579.943041
00:03:04.737707Z,1919.36,1652918584.737707
00:03:08.694436Z,1917.06,1652918588.694436
00:03:15.115436Z,1915.06,1652918595.115436
00:03:18.225643Z,1914.35,1652918598.225643
00:03:24.761254Z,1914.54,1652918604.761254
00:03:28.916437Z,1914.25,1652918608.916437
00:03:34.991990Z,1912.6,1652918614.99199
00:03:38.942704Z,1912.19,1652918618.942704
00:03:44.579466Z,1911.28,1652918624.579466
00:03:49.333194Z,1911.63,1652918629.333194
00:03:55.564954Z,1912.57,1652918635.564954
00:03:59.059119Z,1910.14,1652918639.059119
00:04:04.498535Z,1910.45,1652918644.498535
00:04:08.951288Z,1910.37,1652918648.951288
00:04:15.430596Z,1910.31,1652918655.430596
00:04:19.769018Z,1909.37,1652918659.769018
00:04:23.674272Z,1908.65,1652918663.674272
00:04:29.539556Z,1908.08,1652918669.539556
00:04:33.464553Z,1909.01,1652918673.464553
00:04:38.356495Z,1908.64,1652918678.356495
00:04:43.489073Z,1908.65,1652918683.489073
00:04:50.821753Z,1909.08,1652918690.821753
00:04:54.434718Z,1909.45,1652918694.434718
00:05:00.915251Z,1909.72,1652918700.915251
00:05:05.894472Z,1910.44,1652918705.894472
00:05:09.544095Z,1911.18,1652918709.544095
00:05:15.751528Z,1911.37,1652918715.751528
00:05:19.850030Z,1909.43,1652918719.85003
00:05:25.326325Z,1909.01,1652918725.326325
00:05:29.721949Z,1908.84,1652918729.721949
00:05:35.894242Z,1907.66,1652918735.894242
00:05:39.066001Z,1908.53,1652918739.066001
00:05:45.367297Z,1908,1652918745.367297
00:05:49.628316Z,1907.53,1652918749.628316
00:05:55.618907Z,1906.76,1652918755.618907
00:05:59.043561Z,1905.56,1652918759.043561
00:06:05.736880Z,1908.06,1652918765.73688
00:06:09.655354Z,1907.79,1652918769.655354
00:06:15.668254Z,1909.65,1652918775.668254
00:06:19.600885Z,1908.9,1652918779.600885
00:06:25.999376Z,1909.71,1652918785.999376
00:06:29.743409Z,1910.24,1652918789.743409
00:06:36.032302Z,1910.26,1652918796.032302
00:06:39.831781Z,1909.73,1652918799.831781
00:06:45.607947Z,1910.08,1652918805.607947
00:06:49.643985Z,1910.58,1652918809.643985
00:06:56.418523Z,1912.89,1652918816.418523
00:07:01.676285Z,1912.33,1652918821.676285
00:07:06.558426Z,1913.58,1652918826.558426
00:07:11.898027Z,1915.99,1652918831.898027
00:07:15.544191Z,1915.12,1652918835.544191
00:07:22.075968Z,1914.48,1652918842.075968
00:07:26.658998Z,1914.99,1652918846.658998
00:07:31.597400Z,1914.02,1652918851.5974
00:07:36.806996Z,1915.09,1652918856.806996
00:07:41.822360Z,1914.99,1652918861.82236
00:07:46.627541Z,1914.59,1652918866.627541
00:07:50.606709Z,1915.05,1652918870.606709
