2022-05-18,ETH-USD
Time,Price,UnixTime
04:47:28.149912Z,2035.31,1652849248.149912
04:47:34.261431Z,2035.45,1652849254.261431
04:47:38.101252Z,2035.76,1652849258.101252
04:47:43.518555Z,2036.2,1652849263.518555
04:47:48.293599Z,2036.17,1652849268.293599
04:47:53.940014Z,2036.04,1652849273.940014
04:47:57.258238Z,2036.71,1652849277.258238
04:48:03.512820Z,2036.83,1652849283.51282
04:48:09.692111Z,2036.29,1652849289.692111
04:48:11.310691Z,2036.03,1652849291.310691
04:48:17.858273Z,2035.69,1652849297.858273
04:48:25.084282Z,2035.61,1652849305.084282
04:48:29.378201Z,2035.5,1652849309.378201
04:48:34.236306Z,2035.13,1652849314.236306
04:48:39.675118Z,2035.92,1652849319.675118
04:48:43.575862Z,2035.8,1652849323.575862
04:48:48.311545Z,2036,1652849328.311545
04:48:55.101288Z,2036.57,1652849335.101288
04:48:57.754606Z,2036.55,1652849337.754606
04:49:04.307860Z,2036.64,1652849344.30786
04:49:08.086380Z,2036.58,1652849348.08638
04:49:13.765475Z,2036.64,1652849353.765475
04:49:19.527805Z,2036.64,1652849359.527805
04:49:22.448350Z,2036.56,1652849362.44835
04:49:29.361250Z,2036.58,1652849369.36125
04:49:35.270330Z,2037.39,1652849375.27033
04:49:39.983751Z,2037.38,1652849379.983751
04:49:44.388500Z,2037.6,1652849384.3885
04:49:48.566205Z,2037.69,1652849388.566205
04:49:53.255886Z,2038.02,1652849393.255886
04:49:59.585109Z,2038.18,1652849399.585109
04:50:05.734451Z,2038.47,1652849405.734451
04:50:09.022548Z,2037.48,1652849409.022548
04:50:14.356895Z,2037.55,1652849414.356895
04:50:18.511977Z,2037.78,1652849418.511977
04:50:25.749419Z,2037.47,1652849425.749419
04:50:29.455236Z,2037.38,1652849429.455236
04:50:35.828317Z,2037.57,1652849435.828317
04:50:40.709170Z,2038.2,1652849440.70917
04:50:45.927130Z,2037.15,1652849445.92713
04:50:48.840129Z,2036.86,1652849448.840129
04:50:54.770Z,2036.51,1652849454.00077
04:50:59.288776Z,2036.53,1652849459.288776
04:51:04.983305Z,2036.77,1652849464.983305
04:51:06.351591Z,2036.82,1652849466.351591
04:51:16.022322Z,2036.59,1652849476.022322
04:51:21.159312Z,2036.69,1652849481.159312
04:51:25.123634Z,2036.69,1652849485.123634
04:51:29.592593Z,2036.11,1652849489.592593
04:51:35.967820Z,2035.92,1652849495.96782
04:51:39.937456Z,2035.92,1652849499.937456
04:51:45.915836Z,2035.71,1652849505.915836
04:51:48.512854Z,2035.79,1652849508.512854
04:51:55.368426Z,2035.59,1652849515.368426
04:51:59.573396Z,2035.44,1652849519.573396
04:52:06.030077Z,2034.23,1652849526.030077
04:52:07.411604Z,2034.64,1652849527.411604
04:52:16.822951Z,2033.67,1652849536.822951
04:52:21.785133Z,2033.1,1652849541.785133
04:52:26.110433Z,2032.57,1652849546.110433
04:52:31.417965Z,2033.45,1652849551.417965
04:52:36.655931Z,2034.09,1652849556.655931
04:52:41.891796Z,2034.56,1652849561.891796
04:52:45.595043Z,2034.38,1652849565.595043
04:52:52.189447Z,2034.74,1652849572.189447
04:52:56.177021Z,2035.03,1652849576.177021
04:53:01.525313Z,2034.84,1652849581.525313
04:53:04.553109Z,2035,1652849584.553109
04:53:11.911244Z,2034.99,1652849591.911244
04:53:14.464733Z,2034.84,1652849594.464733
04:53:21.248621Z,2034.99,1652849601.248621
04:53:24.903345Z,2035,1652849604.903345
04:53:29.921918Z,2035.09,1652849609.921918
04:53:33.721774Z,2034.9,1652849613.721774
04:53:41.690620Z,2033.8,1652849621.69062
04:53:45.832482Z,2033.94,1652849625.832482
04:53:51.958472Z,2033.71,1652849631.958472
04:53:55.753434Z,2033.56,1652849635.753434
04:54:01.589647Z,2034.77,1652849641.589647
04:54:05.915887Z,2034.88,1652849645.915887
04:54:11.350419Z,2034.97,1652849651.350419
04:54:13.969532Z,2034.94,1652849653.969532
04:54:21.512760Z,2034.78,1652849661.51276
04:54:23.298885Z,2034.38,1652849663.298885
04:54:31.471058Z,2034.27,1652849671.471058
04:54:37.606775Z,2034.81,1652849677.606775
04:54:41.991071Z,2034.64,1652849681.991071
04:54:47.228881Z,2034.2,1652849687.228881
04:54:51.753257Z,2033.67,1652849691.753257
