2022-05-19,BTC-USD
Time,Price,UnixTime
00:00:03.573952Z,28662.08,1652918403.573952
00:00:08.002499Z,28660.12,1652918408.002499
00:00:13.749150Z,28685.91,1652918413.74915
00:00:19.008925Z,28694.13,1652918419.008925
00:00:24.535449Z,28705,1652918424.535449
00:00:27.666639Z,28706,1652918427.666639
00:00:34.380579Z,28705.89,1652918434.380579
00:00:37.795608Z,28702.75,1652918437.795608
00:00:42.771904Z,28706.97,1652918442.771904
00:00:49.595447Z,28735.02,1652918449.595447
00:00:52.694605Z,28741.93,1652918452.694605
00:00:59.379210Z,28763.1,1652918459.37921
00:01:03.988370Z,28740,1652918463.98837
00:01:09.690518Z,28735.47,1652918469.690518
00:01:13.877176Z,28743.79,1652918473.877176
00:01:19.938119Z,28759.32,1652918479.938119
00:01:23.386928Z,28759.67,1652918483.386928
00:01:29.929423Z,28762.35,1652918489.929423
00:01:33.713378Z,28777.62,1652918493.713378
00:01:37.704250Z,28767.06,1652918497.70425
00:01:44.197823Z,28760.92,1652918504.197823
00:01:49.238266Z,28765.13,1652918509.238266
00:01:53.533994Z,28763.83,1652918513.533994
00:01:59.434365Z,28772.53,1652918519.434365
00:02:03.984172Z,28780.38,1652918523.984172
00:02:08.714232Z,28779.29,1652918528.714232
00:02:14.445170Z,28758.28,1652918534.44517
00:02:19.961875Z,28745.89,1652918539.961875
00:02:23.845714Z,28740.22,1652918543.845714
00:02:28.565911Z,28749.45,1652918548.565911
00:02:33.281968Z,28742.61,1652918553.281968
00:02:40.207354Z,28739.52,1652918560.207354
00:02:44.298867Z,28740.48,1652918564.298867
00:02:49.895826Z,28750,1652918569.895826
00:02:54.826532Z,28745.28,1652918574.826532
00:03:00.054311Z,28747.06,1652918580.054311
00:03:03.786704Z,28768.25,1652918583.786704
00:03:10.871942Z,28767.21,1652918590.871942
00:03:15.219232Z,28748.41,1652918595.219232
00:03:19.925900Z,28739.54,1652918599.9259
00:03:23.730290Z,28740.74,1652918603.73029
00:03:30.920829Z,28740.15,1652918610.920829
00:03:34.884775Z,28737.98,1652918614.884775
00:03:40.757437Z,28719.37,1652918620.757437
00:03:45.181637Z,28702.63,1652918625.181637
00:03:51.005090Z,28711.91,1652918631.00509
00:03:55.934828Z,28725.38,1652918635.934828
00:04:01.055902Z,28727.93,1652918641.055902
00:04:05.120062Z,28715.45,1652918645.120062
00:04:10.914115Z,28713.87,1652918650.914115
00:04:15.224009Z,28708,1652918655.224009
00:04:21.251877Z,28694.89,1652918661.251877
00:04:25.604692Z,28703.5,1652918665.604692
00:04:29.769494Z,28690.58,1652918669.769494
00:04:36.190795Z,28697.43,1652918676.190795
00:04:40.435280Z,28694.17,1652918680.43528
00:04:46.532634Z,28698.87,1652918686.532634
00:04:50.120660Z,28698.55,1652918690.12066
00:04:55.063597Z,28696.35,1652918695.063597
00:05:01.053754Z,28702.39,1652918701.053754
00:05:05.556110Z,28705.36,1652918705.55611
00:05:10.780159Z,28714.06,1652918710.780159
00:05:16.410407Z,28715.27,1652918716.410407
00:05:21.276700Z,28694.38,1652918721.2767
00:05:26.881262Z,28688.47,1652918726.881262
00:05:30.783041Z,28686.95,1652918730.783041
00:05:36.874460Z,28679.23,1652918736.87446
00:05:40.758987Z,28678.53,1652918740.758987
00:05:46.873614Z,28684.41,1652918746.873614
00:05:50.853884Z,28675.71,1652918750.853884
00:05:56.724249Z,28661.43,1652918756.724249
00:06:01.024181Z,28655.49,1652918761.024181
00:06:05.387581Z,28670.46,1652918765.387581
00:06:12.268596Z,28691.05,1652918772.268596
00:06:16.708687Z,28681.73,1652918776.708687
00:06:21.342524Z,28684.3,1652918781.342524
