2022-05-18,BTC-USD
Time,Price,UnixTime
04:47:27.614802Z,29816.29,1652849247.614802
04:47:33.135373Z,29819.52,1652849253.135373
04:47:37.974208Z,29828.05,1652849257.974208
04:47:43.514687Z,29838.26,1652849263.514687
04:47:46.650073Z,29835.87,1652849266.650073
04:47:53.109288Z,29835.78,1652849273.109288
04:47:58.870478Z,29838.49,1652849278.870478
04:48:01.737462Z,29845.25,1652849281.737462
04:48:09.046253Z,29835.32,1652849289.046253
04:48:11.682655Z,29832.15,1652849291.682655
04:48:18.605886Z,29823.74,1652849298.605886
04:48:24.486303Z,29823.43,1652849304.486303
04:48:28.895420Z,29820.92,1652849308.89542
04:48:34.622718Z,29817.77,1652849314.622718
04:48:39.141551Z,29832.81,1652849319.141551
04:48:43.369309Z,29829.29,1652849323.369309
04:48:47.039263Z,29829.29,1652849327.039263
04:48:54.733058Z,29840.43,1652849334.733058
04:48:58.937162Z,29837.81,1652849338.937162
04:49:05.142276Z,29843.83,1652849345.142276
04:49:07.882985Z,29843.83,1652849347.882985
04:49:14.601236Z,29841.03,1652849354.601236
04:49:18.346144Z,29841.02,1652849358.346144
04:49:24.864647Z,29838.62,1652849364.864647
04:49:28.758919Z,29839.66,1652849368.758919
04:49:35.039823Z,29850.66,1652849375.039823
04:49:39.166863Z,29850.57,1652849379.166863
04:49:43.880133Z,29850.56,1652849383.880133
04:49:49.701745Z,29852.19,1652849389.701745
04:49:54.452995Z,29857.32,1652849394.452995
04:49:58.886444Z,29857.07,1652849398.886444
04:50:04.278547Z,29869.84,1652849404.278547
04:50:08.905152Z,29854.02,1652849408.905152
04:50:14.305794Z,29854.81,1652849414.305794
04:50:18.298070Z,29857.45,1652849418.29807
04:50:24.908660Z,29846.37,1652849424.90866
04:50:28.732163Z,29848.78,1652849428.732163
04:50:34.311229Z,29853.46,1652849434.311229
04:50:38.751447Z,29864.32,1652849438.751447
04:50:44.478049Z,29846.83,1652849444.478049
