2022-05-20,BTC-USD
Time,Price,UnixTime
00:00:00.107042Z,30274.59,1653004800.107042
00:00:05.084642Z,30274.57,1653004805.084642
00:00:10.613148Z,30274.53,1653004810.613148
00:00:16.004005Z,30269.55,1653004816.004005
00:00:20.652942Z,30269.56,1653004820.652942
00:00:26.360127Z,30256.81,1653004826.360127
00:00:30.999188Z,30256.17,1653004830.999188
00:00:36.343534Z,30250.82,1653004836.343534
00:00:40.034101Z,30252.08,1653004840.034101
00:00:46.397573Z,30246.43,1653004846.397573
00:00:50.101846Z,30257.89,1653004850.101846
00:00:56.596230Z,30280.1,1653004856.59623
00:00:59.928161Z,30258.84,1653004859.928161
00:01:06.653878Z,30259.68,1653004866.653878
00:01:10.044622Z,30258.92,1653004870.044622
00:01:16.692141Z,30251.46,1653004876.692141
00:01:21.886053Z,30258.66,1653004881.886053
00:01:26.674747Z,30251.26,1653004886.674747
00:01:31.615247Z,30247.56,1653004891.615247
00:01:35.418011Z,30243.13,1653004895.418011
00:01:41.662239Z,30242.43,1653004901.662239
00:01:46.715825Z,30240.84,1653004906.715825
00:01:51.961279Z,30236.8,1653004911.961279
00:01:57.115855Z,30222.92,1653004917.115855
00:02:00.750812Z,30216.37,1653004920.750812
00:02:05.852401Z,30219.95,1653004925.852401
00:02:12.272860Z,30206,1653004932.27286
00:02:16.886098Z,30215.16,1653004936.886098
00:02:21.668630Z,30220.89,1653004941.66863
00:02:25.571881Z,30223.25,1653004945.571881
00:02:32.613281Z,30225.24,1653004952.613281
00:02:35.881291Z,30236.11,1653004955.881291
00:02:41.747425Z,30246.44,1653004961.747425
00:02:46.492839Z,30256.23,1653004966.492839
00:02:51.852495Z,30244.35,1653004971.852495
00:02:57.828782Z,30258.8,1653004977.828782
00:03:02.806896Z,30268,1653004982.806896
00:03:06.821077Z,30270.35,1653004986.821077
00:03:13.140133Z,30274.59,1653004993.140133
00:03:17.496207Z,30278.5,1653004997.496207
00:03:21.520864Z,30277.75,1653005001.520864
00:03:26.512497Z,30288.34,1653005006.512497
00:03:32.376962Z,30290.23,1653005012.376962
00:03:36.567537Z,30292.94,1653005016.567537
00:03:43.417161Z,30286.46,1653005023.417161
00:03:46.950574Z,30264.25,1653005026.950574
00:03:53.222768Z,30257.4,1653005033.222768
00:03:58.495179Z,30245.61,1653005038.495179
00:04:02.100638Z,30237.9,1653005042.100638
00:04:08.504736Z,30234.83,1653005048.504736
00:04:10.489211Z,30247.01,1653005050.489211
00:04:16.382285Z,30234.71,1653005056.382285
00:04:23.465865Z,30250.41,1653005063.465865
00:04:28.544995Z,30264.09,1653005068.544995
00:04:32.954047Z,30268.37,1653005072.954047
00:04:38.657609Z,30262.31,1653005078.657609
00:04:43.385124Z,30268.65,1653005083.385124
00:04:48.492178Z,30274.15,1653005088.492178
00:04:53.299322Z,30280.66,1653005093.299322
00:04:59.145086Z,30269.63,1653005099.145086
00:05:02.489991Z,30278.33,1653005102.489991
00:05:07.910403Z,30266.92,1653005107.910403
00:05:13.924539Z,30272.59,1653005113.924539
00:05:18.888303Z,30257.66,1653005118.888303
00:05:24.320715Z,30244.76,1653005124.320715
00:05:28.919147Z,30232.74,1653005128.919147
00:05:34.649954Z,30224.17,1653005134.649954
00:05:39.488993Z,30227.45,1653005139.488993
00:05:43.951139Z,30227.33,1653005143.951139
00:05:48.164030Z,30227.33,1653005148.16403
00:05:54.000608Z,30231,1653005154.000608
00:05:59.732696Z,30250,1653005159.732696
00:06:04.929160Z,30260.42,1653005164.92916
00:06:09.290222Z,30258.37,1653005169.290222
00:06:14.834858Z,30266.99,1653005174.834858
00:06:20.069345Z,30278.94,1653005180.069345
00:06:24.971768Z,30268.25,1653005184.971768
00:06:28.411763Z,30254.02,1653005188.411763
00:06:33.716808Z,30274.04,1653005193.716808
00:06:39.850993Z,30272.39,1653005199.850993
00:06:45.091117Z,30272.4,1653005205.091117
00:06:48.747750Z,30281.41,1653005208.74775
00:06:55.250978Z,30284.61,1653005215.250978
00:06:59.701724Z,30288,1653005219.701724
00:07:05.380687Z,30301.97,1653005225.380687
00:07:09.216835Z,30314.02,1653005229.216835
00:07:15.234311Z,30304.65,1653005235.234311
00:07:20.146934Z,30308.03,1653005240.146934
00:07:25.846967Z,30297.86,1653005245.846967
00:07:29.776951Z,30300.47,1653005249.776951
00:07:35.844540Z,30286.25,1653005255.84454
00:07:40.441738Z,30286.2,1653005260.441738
00:07:45.592342Z,30276.54,1653005265.592342
00:07:50.897930Z,30279.67,1653005270.89793
00:07:55.991156Z,30279.39,1653005275.991156
00:08:00.751400Z,30290.91,1653005280.7514
00:08:04.282618Z,30299,1653005284.282618
00:08:10.704934Z,30299.99,1653005290.704934
00:08:16.060213Z,30305.58,1653005296.060213
00:08:19.864015Z,30301.26,1653005299.864015
00:08:24.734932Z,30290.99,1653005304.734932
00:08:30.115707Z,30289.76,1653005310.115707
00:08:35.204221Z,30281.79,1653005315.204221
00:08:40.166019Z,30294.76,1653005320.166019
00:08:45.138657Z,30293.94,1653005325.138657
00:08:51.448063Z,30289.94,1653005331.448063
00:08:55.284124Z,30299.55,1653005335.284124
00:09:00.513699Z,30309.78,1653005340.513699
00:09:05.450125Z,30292.16,1653005345.450125
00:09:11.679243Z,30287.83,1653005351.679243
00:09:15.278754Z,30279.68,1653005355.278754
